"","diff","lwr","upr","p adj"
"Atlanta Falcons-Arizona Cardinals",-4.42857142857155,-17.3491248942393,8.49198203709623,0.999994234572917
"Baltimore Ravens-Arizona Cardinals",3.85714285714312,-9.06341060852466,16.7776963228109,0.999999772031382
"Buffalo Bills-Arizona Cardinals",-2.1428571428572,-15.063410608525,10.7776963228106,1
"Carolina Panthers-Arizona Cardinals",-3.66666666666665,-16.5872201323344,9.25388679900114,0.999999934361451
"Chicago Bears-Arizona Cardinals",-2.23809523809526,-15.158648703763,10.6824582275725,1
"Cincinnati Bengals-Arizona Cardinals",-3.47619047619064,-16.3967439418584,9.44436298947715,0.999999982854933
"Cleveland Browns-Arizona Cardinals",-3.04761904761908,-15.9681725132869,9.87293441804871,0.999999999445055
"Dallas Cowboys-Arizona Cardinals",2.14285714285716,-10.7776963228106,15.0634106085249,1
"Denver Broncos-Arizona Cardinals",0.714285714285744,-12.206267751382,13.6348391799535,1
"Detroit Lions-Arizona Cardinals",1.76190476190477,-11.158648703763,14.6824582275726,1
"Green Bay Packers-Arizona Cardinals",-0.809523809523803,-13.7300772751916,12.111029656144,1
"Houston Texans-Arizona Cardinals",0.761904761904795,-12.6862336599777,14.2100431837873,1
"Indianapolis Colts-Arizona Cardinals",-9.61904761904767,-22.5396010847155,3.30150584662012,0.555676010945427
"Jacksonville Jaguars-Arizona Cardinals",-4.42857142857147,-17.3491248942393,8.49198203709632,0.999994234572917
"Kansas City Chiefs-Arizona Cardinals",-2.33333333333331,-15.2538867990011,10.5872201323345,1
"Las Vegas Raiders-Arizona Cardinals",11.0952380952382,-1.82531537042963,24.0157915609059,0.237293564534486
"Los Angeles Chargers-Arizona Cardinals",0.571428571428577,-12.3491248942392,13.4919820370964,1
"Los Angeles Rams-Arizona Cardinals",0.999999999999993,-11.9205534656678,13.9205534656678,1
"Miami Dolphins-Arizona Cardinals",-3.9523809523809,-16.8729344180487,8.96817251328689,0.999999589282348
"Minnesota Vikings-Arizona Cardinals",-2.71428571428571,-15.6348391799535,10.2062677513821,0.999999999976044
"New England Patriots-Arizona Cardinals",-3.66666666666669,-16.5872201323345,9.25388679900109,0.999999934361451
"New Orleans Saints-Arizona Cardinals",-0.190476190476183,-13.111029656144,12.7300772751916,1
"New York Giants-Arizona Cardinals",-3.14285714285716,-16.0634106085249,9.77769632281063,0.999999998744691
"New York Jets-Arizona Cardinals",-4.95238095238089,-17.8729344180487,7.96817251328689,0.99993600215789
"Philadelphia Eagles-Arizona Cardinals",2.47619047619048,-10.4443629894773,15.3967439418583,0.999999999998316
"Pittsburgh Steelers-Arizona Cardinals",-4.1904761904762,-17.111029656144,8.73007727519159,0.999998366297398
"San Francisco 49ers-Arizona Cardinals",2.80952380952382,-10.111029656144,15.7300772751916,0.999999999938148
"Seattle Seahawks-Arizona Cardinals",0.761904761904766,-12.158648703763,13.6824582275726,1
"Tampa Bay Buccaneers-Arizona Cardinals",1.57142857142858,-11.3491248942392,14.4919820370964,1
"Tennessee Titans-Arizona Cardinals",1.52380952380953,-11.3967439418583,14.4443629894773,1
"Washington Football Team-Arizona Cardinals",-1.42857142857142,-14.3491248942392,11.4919820370964,1
"Baltimore Ravens-Atlanta Falcons",8.28571428571468,-4.63483917995311,21.2062677513825,0.845295757492643
"Buffalo Bills-Atlanta Falcons",2.28571428571436,-10.6348391799534,15.2062677513821,1
"Carolina Panthers-Atlanta Falcons",0.761904761904901,-12.1586487037629,13.6824582275727,1
"Chicago Bears-Atlanta Falcons",2.19047619047629,-10.7300772751915,15.1110296561441,1
"Cincinnati Bengals-Atlanta Falcons",0.952380952380913,-11.9681725132869,13.8729344180487,1
"Cleveland Browns-Atlanta Falcons",1.38095238095247,-11.5396010847153,14.3015058466203,1
"Dallas Cowboys-Atlanta Falcons",6.57142857142871,-6.34912489423907,19.4919820370965,0.990124445076259
"Denver Broncos-Atlanta Falcons",5.1428571428573,-7.77769632281049,18.0634106085251,0.999862506676476
"Detroit Lions-Atlanta Falcons",6.19047619047632,-6.73007727519146,19.1110296561441,0.996070530251886
"Green Bay Packers-Atlanta Falcons",3.61904761904775,-9.30150584662004,16.5396010847155,0.999999952627506
"Houston Texans-Atlanta Falcons",5.19047619047635,-8.25766223140612,18.6386146123588,0.999926204778756
"Indianapolis Colts-Atlanta Falcons",-5.19047619047612,-18.1110296561439,7.73007727519167,0.999834925551997
"Jacksonville Jaguars-Atlanta Falcons",8.5265128291212e-14,-12.9205534656677,12.9205534656679,1
"Kansas City Chiefs-Atlanta Falcons",2.09523809523824,-10.8253153704295,15.015791560906,1
"Las Vegas Raiders-Atlanta Falcons",15.5238095238097,2.60325605814193,28.4443629894775,0.00254413279300614
"Los Angeles Chargers-Atlanta Falcons",5.00000000000013,-7.92055346566766,17.9205534656679,0.999922120310931
"Los Angeles Rams-Atlanta Falcons",5.42857142857154,-7.49198203709624,18.3491248942393,0.99960726183115
"Miami Dolphins-Atlanta Falcons",0.476190476190652,-12.4443629894771,13.3967439418584,1
"Minnesota Vikings-Atlanta Falcons",1.71428571428584,-11.2062677513819,14.6348391799536,1
"New England Patriots-Atlanta Falcons",0.761904761904859,-12.1586487037629,13.6824582275726,1
"New Orleans Saints-Atlanta Falcons",4.23809523809537,-8.68245822757242,17.1586487037632,0.999997878255837
"New York Giants-Atlanta Falcons",1.28571428571439,-11.6348391799534,14.2062677513822,1
"New York Jets-Atlanta Falcons",-0.523809523809341,-13.4443629894771,12.3967439418584,1
"Philadelphia Eagles-Atlanta Falcons",6.90476190476203,-6.01579156090575,19.8253153704298,0.980117744039279
"Pittsburgh Steelers-Atlanta Falcons",0.238095238095354,-12.6824582275724,13.1586487037631,1
"San Francisco 49ers-Atlanta Falcons",7.23809523809537,-5.68245822757242,20.1586487037632,0.96336903379895
"Seattle Seahawks-Atlanta Falcons",5.19047619047632,-7.73007727519147,18.1110296561441,0.999834925551996
"Tampa Bay Buccaneers-Atlanta Falcons",6.00000000000014,-6.92055346566765,18.9205534656679,0.99765117598428
"Tennessee Titans-Atlanta Falcons",5.95238095238108,-6.96817251328671,18.8729344180489,0.997947071422757
"Washington Football Team-Atlanta Falcons",3.00000000000014,-9.92055346566765,15.9205534656679,0.999999999635653
"Buffalo Bills-Baltimore Ravens",-6.00000000000032,-18.9205534656681,6.92055346566747,0.997651175984279
"Carolina Panthers-Baltimore Ravens",-7.52380952380977,-20.4443629894776,5.39674394185801,0.941963819648338
"Chicago Bears-Baltimore Ravens",-6.09523809523839,-19.0157915609062,6.8253153704294,0.996947583865267
"Cincinnati Bengals-Baltimore Ravens",-7.33333333333376,-20.2538867990015,5.58722013233402,0.957029958204239
"Cleveland Browns-Baltimore Ravens",-6.9047619047622,-19.82531537043,6.01579156090558,0.980117744039272
"Dallas Cowboys-Baltimore Ravens",-1.71428571428596,-14.6348391799537,11.2062677513818,1
"Denver Broncos-Baltimore Ravens",-3.14285714285738,-16.0634106085252,9.7776963228104,0.999999998744691
"Detroit Lions-Baltimore Ravens",-2.09523809523835,-15.0157915609061,10.8253153704294,1
"Green Bay Packers-Baltimore Ravens",-4.66666666666693,-17.5872201323347,8.25388679900086,0.999981741221003
"Houston Texans-Baltimore Ravens",-3.09523809523833,-16.5433765171208,10.3529003266441,0.999999999711998
"Indianapolis Colts-Baltimore Ravens",-13.4761904761908,-26.3967439418586,-0.555637010523009,0.0283265541586832
