"","diff","lwr","upr","p adj"
"Atlanta Falcons-Arizona Cardinals",-14.6666666666666,-134.125063575564,104.791730242231,1
"Baltimore Ravens-Arizona Cardinals",43.8095238095262,-75.6488730993709,163.267920718423,0.999974661923888
"Buffalo Bills-Arizona Cardinals",-9.19047619047569,-128.648873099373,110.267920718421,1
"Carolina Panthers-Arizona Cardinals",-22.5238095238087,-141.982206432706,96.9345873850884,0.999999999999053
"Chicago Bears-Arizona Cardinals",-20.0476190476185,-139.506015956516,99.4107778612786,1
"Cincinnati Bengals-Arizona Cardinals",-5.52380952380912,-124.982206432706,113.934587385088,1
"Cleveland Browns-Arizona Cardinals",-11.6666666666662,-131.125063575563,107.791730242231,1
"Dallas Cowboys-Arizona Cardinals",21.4285714285724,-98.0298254803247,140.88696833747,1
"Denver Broncos-Arizona Cardinals",34.3333333333349,-85.1250635755622,153.791730242232,0.999999910090922
"Detroit Lions-Arizona Cardinals",38.2857142857152,-81.1726826231819,157.744111194612,0.999998761398985
"Green Bay Packers-Arizona Cardinals",8.04761904761983,-111.410777861277,127.506015956517,1
"Houston Texans-Arizona Cardinals",12.04761904762,-112.288622550371,136.383860645611,1
"Indianapolis Colts-Arizona Cardinals",-72.8571428571425,-192.31553976604,46.6012540517546,0.904304787244014
"Jacksonville Jaguars-Arizona Cardinals",-33.9047619047614,-153.363158813659,85.5536350041357,0.99999993415924
"Kansas City Chiefs-Arizona Cardinals",-5.61904761904668,-125.077444527944,113.83934928985,1
"Las Vegas Raiders-Arizona Cardinals",84.809523809525,-34.6488730993721,204.267920718422,0.663128620362426
"Los Angeles Chargers-Arizona Cardinals",6.09523809523898,-113.363158813658,125.553635004136,1
"Los Angeles Rams-Arizona Cardinals",-0.333333333332405,-119.79173024223,119.125063575565,1
"Miami Dolphins-Arizona Cardinals",-25.7619047619034,-145.220301670801,93.6964921469937,0.999999999950681
"Minnesota Vikings-Arizona Cardinals",-0.0476190476181273,-119.506015956515,119.410777861279,1
"New England Patriots-Arizona Cardinals",-0.66666666666589,-120.125063575563,118.791730242231,1
"New Orleans Saints-Arizona Cardinals",36.238095238096,-83.2203016708011,155.696492146993,0.999999664017559
"New York Giants-Arizona Cardinals",-7.19047619047541,-126.648873099373,112.267920718422,1
"New York Jets-Arizona Cardinals",-27.6190476190463,-147.077444527943,91.8393492898508,0.999999999674918
"Philadelphia Eagles-Arizona Cardinals",28.5238095238104,-90.9345873850868,147.982206432707,0.999999999231682
"Pittsburgh Steelers-Arizona Cardinals",0.809523809524649,-118.648873099372,120.267920718422,1
"San Francisco 49ers-Arizona Cardinals",26.2857142857151,-93.172682623182,145.744111194612,0.999999999914567
"Seattle Seahawks-Arizona Cardinals",15.9047619047627,-103.553635004134,135.36315881366,1
"Tampa Bay Buccaneers-Arizona Cardinals",13.2380952380961,-106.220301670801,132.696492146993,1
"Tennessee Titans-Arizona Cardinals",25.2857142857151,-94.172682623182,144.744111194612,0.999999999970454
"Washington Football Team-Arizona Cardinals",7.190476190477,-112.26792071842,126.648873099374,1
"Baltimore Ravens-Atlanta Falcons",58.4761904761928,-60.9822064327043,177.93458738509,0.994475894410534
"Buffalo Bills-Atlanta Falcons",5.47619047619088,-113.982206432706,124.934587385088,1
"Carolina Panthers-Atlanta Falcons",-7.85714285714215,-127.315539766039,111.601254051755,1
"Chicago Bears-Atlanta Falcons",-5.38095238095195,-124.839349289849,114.077444527945,1
"Cincinnati Bengals-Atlanta Falcons",9.14285714285745,-110.31553976604,128.601254051755,1
"Cleveland Browns-Atlanta Falcons",3.0000000000004,-116.458396908897,122.458396908898,1
"Dallas Cowboys-Atlanta Falcons",36.095238095239,-83.3631588136581,155.553635004136,0.999999694541463
"Denver Broncos-Atlanta Falcons",49.0000000000015,-70.4583969088957,168.458396908899,0.999751849443445
"Detroit Lions-Atlanta Falcons",52.9523809523818,-66.5060159565153,172.410777861279,0.998950186304582
"Green Bay Packers-Atlanta Falcons",22.7142857142864,-96.7441111946107,142.172682623184,0.999999999998701
"Houston Texans-Atlanta Falcons",26.7142857142866,-97.6219558837041,151.050527312277,0.99999999995545
"Indianapolis Colts-Atlanta Falcons",-58.190476190476,-177.648873099373,61.2679207184212,0.994884370311257
"Jacksonville Jaguars-Atlanta Falcons",-19.2380952380948,-138.696492146992,100.220301670802,1
"Kansas City Chiefs-Atlanta Falcons",9.04761904761989,-110.410777861277,128.506015956517,1
"Las Vegas Raiders-Atlanta Falcons",99.4761904761916,-19.9822064327055,218.934587385089,0.298181787832512
"Los Angeles Chargers-Atlanta Falcons",20.7619047619056,-98.6964921469916,140.220301670803,1
"Los Angeles Rams-Atlanta Falcons",14.3333333333342,-105.125063575563,133.791730242231,1
"Miami Dolphins-Atlanta Falcons",-11.0952380952368,-130.553635004134,108.36315881366,1
"Minnesota Vikings-Atlanta Falcons",14.6190476190484,-104.839349289849,134.077444527946,1
"New England Patriots-Atlanta Falcons",14.0000000000007,-105.458396908896,133.458396908898,1
