"","diff","lwr","upr","p adj"
"Atlanta Falcons-Arizona Cardinals",-1.04761904762046,-112.682629753424,110.587391658184,1
"Baltimore Ravens-Arizona Cardinals",60.3809523809535,-51.2540583248505,172.015963086757,0.97663593982909
"Buffalo Bills-Arizona Cardinals",33.7142857142854,-77.9207249915186,145.349296420089,0.999999698248797
"Carolina Panthers-Arizona Cardinals",3.99999999999937,-107.635010705805,115.635010705803,1
"Chicago Bears-Arizona Cardinals",8.85714285714192,-102.777867848662,120.492153562946,1
"Cincinnati Bengals-Arizona Cardinals",10.7619047619037,-100.8731059439,122.396915467708,1
"Cleveland Browns-Arizona Cardinals",1.85714285714187,-109.777867848662,113.492153562946,1
"Dallas Cowboys-Arizona Cardinals",40.1428571428566,-71.4921535629474,151.777867848661,0.999983404927367
"Denver Broncos-Arizona Cardinals",0.190476190474897,-111.444534515329,111.825486896279,1
"Detroit Lions-Arizona Cardinals",28.4285714285708,-83.2064392772332,140.063582134375,0.999999995828603
"Green Bay Packers-Arizona Cardinals",1.7142857142851,-109.920724991519,113.349296420089,1
"Houston Texans-Arizona Cardinals",17.2380952380944,-98.9553078300605,133.431498306249,1
"Indianapolis Colts-Arizona Cardinals",-12.2380952380961,-123.8731059439,99.3969154677079,1
"Jacksonville Jaguars-Arizona Cardinals",27.1428571428564,-84.4921535629475,138.77786784866,0.999999998758982
"Kansas City Chiefs-Arizona Cardinals",-18.6666666666673,-130.301677372471,92.9683440391367,1
"Las Vegas Raiders-Arizona Cardinals",98.0952380952378,-13.5397726105661,209.730248801042,0.196487986866708
"Los Angeles Chargers-Arizona Cardinals",0.999999999999261,-110.635010705805,112.635010705803,1
"Los Angeles Rams-Arizona Cardinals",85.6666666666656,-25.9683440391384,197.30167737247,0.483959321759573
"Miami Dolphins-Arizona Cardinals",32.809523809523,-78.825486896281,144.444534515327,0.999999844238894
"Minnesota Vikings-Arizona Cardinals",35.1428571428564,-76.4921535629476,146.77786784866,0.999999187046063
"New England Patriots-Arizona Cardinals",31.9523809523804,-79.6826297534236,143.587391658184,0.99999991884216
"New Orleans Saints-Arizona Cardinals",45.6666666666659,-65.968344039138,157.30167737247,0.999764585495462
"New York Giants-Arizona Cardinals",38.9999999999996,-72.6350107058044,150.635010705804,0.999991183945337
"New York Jets-Arizona Cardinals",-51.3333333333333,-162.968344039137,60.3016773724707,0.998011204124577
"Philadelphia Eagles-Arizona Cardinals",57.1428571428564,-54.4921535629475,168.77786784866,0.989151843802989
"Pittsburgh Steelers-Arizona Cardinals",38.4285714285707,-73.2064392772333,150.063582134375,0.99999365083206
"San Francisco 49ers-Arizona Cardinals",8.95238095238011,-102.682629753424,120.587391658184,1
"Seattle Seahawks-Arizona Cardinals",34.1904761904754,-77.4445345153286,145.825486896279,0.999999577156261
"Tampa Bay Buccaneers-Arizona Cardinals",25.0476190476184,-86.5873916581856,136.682629753422,0.999999999855057
"Tennessee Titans-Arizona Cardinals",50.2857142857135,-61.3492964200904,161.920724991517,0.998606389364637
"Washington Football Team-Arizona Cardinals",27.5714285714279,-84.063582134376,139.206439277232,0.999999998125293
"Baltimore Ravens-Atlanta Falcons",61.4285714285739,-50.20643927723,173.063582134378,0.97076371768639
"Buffalo Bills-Atlanta Falcons",34.7619047619058,-76.8731059438981,146.39691546771,0.999999372009636
"Carolina Panthers-Atlanta Falcons",5.04761904761983,-106.587391658184,116.682629753424,1
"Chicago Bears-Atlanta Falcons",9.90476190476238,-101.730248801042,121.539772610566,1
"Cincinnati Bengals-Atlanta Falcons",11.8095238095241,-99.8254868962798,123.444534515328,1
"Cleveland Browns-Atlanta Falcons",2.90476190476232,-108.730248801042,114.539772610566,1
"Dallas Cowboys-Atlanta Falcons",41.1904761904771,-70.4445345153269,152.825486896281,0.999971152845419
"Denver Broncos-Atlanta Falcons",1.23809523809535,-110.396915467709,112.873105943899,1
"Detroit Lions-Atlanta Falcons",29.4761904761912,-82.1588202296127,141.111201181995,0.999999989384538
"Green Bay Packers-Atlanta Falcons",2.76190476190556,-108.873105943898,114.39691546771,1
"Houston Texans-Atlanta Falcons",18.2857142857149,-97.90768878244,134.47911735387,1
"Indianapolis Colts-Atlanta Falcons",-11.1904761904756,-122.82548689628,100.444534515328,1
"Jacksonville Jaguars-Atlanta Falcons",28.1904761904769,-83.4445345153271,139.825486896281,0.999999996648586
"Kansas City Chiefs-Atlanta Falcons",-17.6190476190469,-129.254058324851,94.0159630867571,1
"Las Vegas Raiders-Atlanta Falcons",99.1428571428583,-12.4921535629457,210.777867848662,0.179141527753087
"Los Angeles Chargers-Atlanta Falcons",2.04761904761972,-109.587391658184,113.682629753424,1
"Los Angeles Rams-Atlanta Falcons",86.7142857142861,-24.9207249915179,198.34929642009,0.455132279661153
"Miami Dolphins-Atlanta Falcons",33.8571428571435,-77.7778678486605,145.492153562947,0.999999665853657
"Minnesota Vikings-Atlanta Falcons",36.1904761904768,-75.4445345153271,147.825486896281,0.999998382665326
"New England Patriots-Atlanta Falcons",33.0000000000009,-78.6350107058031,144.635010705805,0.999999820569244
"New Orleans Saints-Atlanta Falcons",46.7142857142864,-64.9207249915176,158.34929642009,0.999636189639355
"New York Giants-Atlanta Falcons",40.0476190476201,-71.5873916581839,151.682629753424,0.999984238261139
"New York Jets-Atlanta Falcons",-50.2857142857128,-161.920724991517,61.3492964200912,0.998606389364637
"Philadelphia Eagles-Atlanta Falcons",58.1904761904769,-53.4445345153271,169.825486896281,0.985916751552319
"Pittsburgh Steelers-Atlanta Falcons",39.4761904761912,-72.1588202296128,151.111201181995,0.999988481545026
"San Francisco 49ers-Atlanta Falcons",10.0000000000006,-101.635010705803,121.635010705805,1
"Seattle Seahawks-Atlanta Falcons",35.2380952380959,-76.3969154677081,146.8731059439,0.999999133438732
"Tampa Bay Buccaneers-Atlanta Falcons",26.0952380952388,-85.5397726105652,137.730248801043,0.999999999563835
"Tennessee Titans-Atlanta Falcons",51.333333333334,-60.30167737247,162.968344039138,0.998011204124576
"Washington Football Team-Atlanta Falcons",28.6190476190484,-83.0159630867556,140.254058324852,0.99999999503926
"Buffalo Bills-Baltimore Ravens",-26.6666666666681,-138.301677372472,84.9683440391359,0.999999999223301
"Carolina Panthers-Baltimore Ravens",-56.3809523809541,-168.015963086758,55.2540583248499,0.991099479933325
"Chicago Bears-Baltimore Ravens",-51.5238095238116,-163.158820229616,60.1112011819924,0.997882072958874
"Cincinnati Bengals-Baltimore Ravens",-49.6190476190498,-161.254058324854,62.0159630867542,0.998898268390726
"Cleveland Browns-Baltimore Ravens",-58.5238095238116,-170.158820229616,53.1112011819923,0.98473739872072
"Dallas Cowboys-Baltimore Ravens",-20.2380952380969,-131.873105943901,91.3969154677071,1
"Denver Broncos-Baltimore Ravens",-60.1904761904786,-171.825486896283,51.4445345153254,0.977596407367743
"Detroit Lions-Baltimore Ravens",-31.9523809523827,-143.587391658187,79.6826297534212,0.99999991884216
"Green Bay Packers-Baltimore Ravens",-58.6666666666684,-170.301677372472,52.9683440391356,0.984208204923916
"Houston Texans-Baltimore Ravens",-43.142857142859,-159.336260211014,73.0505459252959,0.999967039543784
"Indianapolis Colts-Baltimore Ravens",-72.6190476190496,-184.254058324854,39.0159630867544,0.824710430673533
"Jacksonville Jaguars-Baltimore Ravens",-33.2380952380971,-144.873105943901,78.3969154677069,0.999999786225784
"Kansas City Chiefs-Baltimore Ravens",-79.0476190476208,-190.682629753425,32.5873916581832,0.668759772664715
"Las Vegas Raiders-Baltimore Ravens",37.7142857142844,-73.9207249915196,149.349296420088,0.999995836562472
"Los Angeles Chargers-Baltimore Ravens",-59.3809523809542,-171.015963086758,52.2540583248497,0.981336976663375
"Los Angeles Rams-Baltimore Ravens",25.2857142857121,-86.3492964200918,136.920724991516,0.999999999812856
"Miami Dolphins-Baltimore Ravens",-27.5714285714305,-139.206439277234,84.0635821343735,0.999999998125293
"Minnesota Vikings-Baltimore Ravens",-25.2380952380971,-136.873105943901,86.3969154677068,0.999999999822135
"New England Patriots-Baltimore Ravens",-28.4285714285731,-140.063582134377,83.2064392772309,0.999999995828603
"New Orleans Saints-Baltimore Ravens",-14.7142857142875,-126.349296420092,96.9207249915164,1
"New York Giants-Baltimore Ravens",-21.3809523809539,-133.015963086758,90.2540583248501,0.999999999998346
"New York Jets-Baltimore Ravens",-111.714285714287,-223.349296420091,-0.0792750084827816,0.0495493216018154
"Philadelphia Eagles-Baltimore Ravens",-3.23809523809706,-114.873105943901,108.396915467707,1
"Pittsburgh Steelers-Baltimore Ravens",-21.9523809523828,-133.587391658187,89.6826297534212,0.999999999996262
