,diff,lwr,upr,p adj
New York Jets-Las Vegas Raiders,-33.95238095,-53.89781559,-14.00694631,9.89E-08
Las Vegas Raiders-Indianapolis Colts,32.42857143,12.48313679,52.37400607,5.77E-07
Las Vegas Raiders-Atlanta Falcons,29.57142857,9.625993932,49.51686321,1.29E-05
Las Vegas Raiders-Carolina Panthers,26.04761905,6.102184408,45.99305369,0.000409722
Las Vegas Raiders-Jacksonville Jaguars,25.57142857,5.625993932,45.51686321,0.000631424
Las Vegas Raiders-Kansas City Chiefs,25.28571429,5.340279647,45.23114892,0.00081506
Las Vegas Raiders-Chicago Bears,25.23809524,5.292660599,45.18352988,0.000850223
New England Patriots-Las Vegas Raiders,-25.04761905,-44.99305369,-5.102184408,0.001005808
Las Vegas Raiders-Cleveland Browns,24.95238095,5.006946313,44.89781559,0.001093379
Miami Dolphins-Las Vegas Raiders,-24.57142857,-44.51686321,-4.625993932,0.001521278
Pittsburgh Steelers-Las Vegas Raiders,-24.57142857,-44.51686321,-4.625993932,0.001521278
Las Vegas Raiders-Cincinnati Bengals,24.0952381,4.149803456,44.04067273,0.002279689
New York Giants-Las Vegas Raiders,-23.52380952,-43.46924416,-3.578374885,0.003657695
New York Jets-Los Angeles Rams,-23.14285714,-43.08829178,-3.197422504,0.004973784
New York Jets-Baltimore Ravens,-22.76190476,-42.7073394,-2.816470123,0.006719913
Las Vegas Raiders-Green Bay Packers,22.76190476,2.816470123,42.7073394,0.006719913
Los Angeles Rams-Indianapolis Colts,21.61904762,1.67361298,41.56448226,0.015916774
Los Angeles Chargers-Las Vegas Raiders,-21.47619048,-41.42162512,-1.530755837,0.017649974
Las Vegas Raiders-Denver Broncos,21.33333333,1.387898694,41.27876797,0.019551989
Indianapolis Colts-Baltimore Ravens,-21.23809524,-41.18352988,-1.292660599,0.020920604
Las Vegas Raiders-Houston Texans,21.91269841,1.152831846,42.67256498,0.023828406
Washington Football Team-Las Vegas Raiders,-21,-40.94543464,-1.054565361,0.024726002
Las Vegas Raiders-Buffalo Bills,21,1.054565361,40.94543464,0.024726002
Las Vegas Raiders-Arizona Cardinals,20.61904762,0.67361298,40.56448226,0.032108665
Minnesota Vikings-Las Vegas Raiders,-19.80952381,-39.75495845,0.13591083,0.054507016
Philadelphia Eagles-New York Jets,19.47619048,-0.469244163,39.42162512,0.067055521
Tampa Bay Buccaneers-Las Vegas Raiders,-19.19047619,-39.13591083,0.754958449,0.079673302
Los Angeles Rams-Atlanta Falcons,18.76190476,-1.183529877,38.7073394,0.102239337
San Francisco 49ers-Las Vegas Raiders,-18.71428571,-38.65972035,1.231148925,0.105038403
New Orleans Saints-Las Vegas Raiders,-18.66666667,-38.61210131,1.278767972,0.107898773
Baltimore Ravens-Atlanta Falcons,18.38095238,-1.564482258,38.32638702,0.1263912
Seattle Seahawks-Las Vegas Raiders,-18.28571429,-38.23114892,1.659720353,0.133079647
Philadelphia Eagles-Indianapolis Colts,17.95238095,-1.993053687,37.89781559,0.158658122
New York Jets-Dallas Cowboys,-17.52380952,-37.46924416,2.421625115,0.196729546
New York Jets-Detroit Lions,-17.47619048,-37.42162512,2.469244163,0.201330781
Tennessee Titans-Las Vegas Raiders,-17.0952381,-37.04067273,2.850196544,0.240848322
Tennessee Titans-New York Jets,16.85714286,-3.088291782,36.8025775,0.26797888
Las Vegas Raiders-Detroit Lions,16.47619048,-3.469244163,36.42162512,0.315149195
Las Vegas Raiders-Dallas Cowboys,16.42857143,-3.516863211,36.37400607,0.321357181
Indianapolis Colts-Dallas Cowboys,-16,-35.94543464,3.945434639,0.380076302
Indianapolis Colts-Detroit Lions,-15.95238095,-35.89781559,3.993053687,0.386893344
Seattle Seahawks-New York Jets,15.66666667,-4.278767972,35.61210131,0.428850899
Tennessee Titans-Indianapolis Colts,15.33333333,-4.612101306,35.27876797,0.479684723
New York Jets-New Orleans Saints,-15.28571429,-35.23114892,4.659720353,0.48707289
Los Angeles Rams-Carolina Panthers,15.23809524,-4.707339401,35.18352988,0.494485687
San Francisco 49ers-New York Jets,15.23809524,-4.707339401,35.18352988,0.494485687
Philadelphia Eagles-Atlanta Falcons,15.0952381,-4.850196544,35.04067273,0.516847402
Carolina Panthers-Baltimore Ravens,-14.85714286,-34.8025775,5.088291782,0.554375192
Los Angeles Rams-Jacksonville Jaguars,14.76190476,-5.183529877,34.7073394,0.569415042
Tampa Bay Buccaneers-New York Jets,14.76190476,-5.183529877,34.7073394,0.569415042
Philadelphia Eagles-Las Vegas Raiders,-14.47619048,-34.42162512,5.469244163,0.614347387
Los Angeles Rams-Kansas City Chiefs,14.47619048,-5.469244163,34.42162512,0.614347387
Los Angeles Rams-Chicago Bears,14.42857143,-5.516863211,34.37400607,0.62177935
Jacksonville Jaguars-Baltimore Ravens,-14.38095238,-34.32638702,5.564482258,0.629187562
New England Patriots-Los Angeles Rams,-14.23809524,-34.18352988,5.707339401,0.651241467
Seattle Seahawks-Indianapolis Colts,14.14285714,-5.802577496,34.08829178,0.665773727
Los Angeles Rams-Cleveland Browns,14.14285714,-5.802577496,34.08829178,0.665773727
New York Jets-Minnesota Vikings,-14.14285714,-34.08829178,5.802577496,0.665773727
Kansas City Chiefs-Baltimore Ravens,-14.0952381,-34.04067273,5.850196544,0.672980412
Chicago Bears-Baltimore Ravens,-14.04761905,-33.99305369,5.897815592,0.680143806
New England Patriots-Baltimore Ravens,-13.85714286,-33.8025775,6.088291782,0.708310701
Cleveland Browns-Baltimore Ravens,-13.76190476,-33.7073394,6.183529877,0.722065463
New Orleans Saints-Indianapolis Colts,13.76190476,-6.183529877,33.7073394,0.722065463
Pittsburgh Steelers-Los Angeles Rams,-13.76190476,-33.7073394,6.183529877,0.722065463
Miami Dolphins-Los Angeles Rams,-13.76190476,-33.7073394,6.183529877,0.722065463
San Francisco 49ers-Indianapolis Colts,13.71428571,-6.231148925,33.65972035,0.72885179
Pittsburgh Steelers-Baltimore Ravens,-13.38095238,-33.32638702,6.564482258,0.774436195
Miami Dolphins-Baltimore Ravens,-13.38095238,-33.32638702,6.564482258,0.774436195
New York Jets-Arizona Cardinals,-13.33333333,-33.27876797,6.612101306,0.780647658
Los Angeles Rams-Cincinnati Bengals,13.28571429,-6.659720353,33.23114892,0.786777898
Tampa Bay Buccaneers-Indianapolis Colts,13.23809524,-6.707339401,33.18352988,0.792825071
Dallas Cowboys-Atlanta Falcons,13.14285714,-6.802577496,33.08829178,0.80466325
Detroit Lions-Atlanta Falcons,13.0952381,-6.850196544,33.04067273,0.810450977
Washington Football Team-New York Jets,12.95238095,-6.993053687,32.89781559,0.827270817
New York Jets-Buffalo Bills,-12.95238095,-32.89781559,6.993053687,0.827270817
Cincinnati Bengals-Baltimore Ravens,-12.9047619,-32.85019654,7.040672734,0.832691863
New York Giants-Los Angeles Rams,-12.71428571,-32.65972035,7.231148925,0.85341808
Minnesota Vikings-Indianapolis Colts,12.61904762,-7.32638702,32.56448226,0.863193874
New York Jets-Denver Broncos,-12.61904762,-32.56448226,7.32638702,0.863193874
Tennessee Titans-Atlanta Falcons,12.47619048,-7.469244163,32.42162512,0.877108677
New York Jets-Los Angeles Chargers,-12.47619048,-32.42162512,7.469244163,0.877108677
New York Giants-Baltimore Ravens,-12.33333333,-32.27876797,7.612101306,0.890116041
Los Angeles Rams-Green Bay Packers,11.95238095,-7.993053687,31.89781559,0.920369057
Indianapolis Colts-Arizona Cardinals,-11.80952381,-31.75495845,8.13591083,0.930082425
Green Bay Packers-Baltimore Ravens,-11.57142857,-31.51686321,8.374006068,0.944379064
Philadelphia Eagles-Carolina Panthers,11.57142857,-8.374006068,31.51686321,0.944379064
New York Jets-Houston Texans,-12.03968254,-32.79954911,8.720184027,0.944603849
Washington Football Team-Indianapolis Colts,11.42857143,-8.516863211,31.37400607,0.951872187
Indianapolis Colts-Buffalo Bills,-11.42857143,-31.37400607,8.516863211,0.951872187
Seattle Seahawks-Atlanta Falcons,11.28571429,-8.659720353,31.23114892,0.958596566
New York Jets-Green Bay Packers,-11.19047619,-31.13591083,8.754958449,0.962672754
Las Vegas Raiders-Baltimore Ravens,11.19047619,-8.754958449,31.13591083,0.962672754
Indianapolis Colts-Denver Broncos,-11.0952381,-31.04067273,8.850196544,0.966438745
Philadelphia Eagles-Jacksonville Jaguars,11.0952381,-8.850196544,31.04067273,0.966438745
Los Angeles Chargers-Indianapolis Colts,10.95238095,-8.993053687,30.89781559,0.971536029
New Orleans Saints-Atlanta Falcons,10.9047619,-9.040672734,30.85019654,0.973094991
San Francisco 49ers-Atlanta Falcons,10.85714286,-9.088291782,30.8025775,0.97458688
Los Angeles Rams-Las Vegas Raiders,-10.80952381,-30.75495845,9.13591083,0.97601354
Philadelphia Eagles-Kansas City Chiefs,10.80952381,-9.13591083,30.75495845,0.97601354
Philadelphia Eagles-Chicago Bears,10.76190476,-9.183529877,30.7073394,0.977376708
Los Angeles Rams-Houston Texans,11.1031746,-9.656691963,31.86304117,0.979896571
Los Angeles Rams-Los Angeles Chargers,10.66666667,-9.278767972,30.61210131,0.979919966
Philadelphia Eagles-New England Patriots,10.57142857,-9.374006068,30.51686321,0.982231268
Los Angeles Rams-Denver Broncos,10.52380952,-9.421625115,30.46924416,0.983304452
Philadelphia Eagles-Cleveland Browns,10.47619048,-9.469244163,30.42162512,0.984325065
New York Jets-New York Giants,-10.42857143,-30.37400607,9.516863211,0.985294899
Tampa Bay Buccaneers-Atlanta Falcons,10.38095238,-9.564482258,30.32638702,0.986215712
Houston Texans-Baltimore Ravens,-10.72222222,-31.48208879,10.03764434,0.987646393
Los Angeles Chargers-Baltimore Ravens,-10.28571429,-30.23114892,9.659720353,0.987917285
Los Angeles Rams-Buffalo Bills,10.19047619,-9.754958449,30.13591083,0.989443559
Washington Football Team-Los Angeles Rams,-10.19047619,-30.13591083,9.754958449,0.989443559
Denver Broncos-Baltimore Ravens,-10.14285714,-30.08829178,9.802577496,0.990145156
Indianapolis Colts-Houston Texans,-10.51587302,-31.27573958,10.24399355,0.990698042
Pittsburgh Steelers-Philadelphia Eagles,-10.0952381,-30.04067273,9.850196544,0.990807912
Philadelphia Eagles-Miami Dolphins,10.0952381,-9.850196544,30.04067273,0.990807912
New York Jets-Cincinnati Bengals,-9.857142857,-29.8025775,10.08829178,0.993594
Buffalo Bills-Baltimore Ravens,-9.80952381,-29.75495845,10.13591083,0.994056196
Washington Football Team-Baltimore Ravens,-9.80952381,-29.75495845,10.13591083,0.994056196
Los Angeles Rams-Arizona Cardinals,9.80952381,-10.13591083,29.75495845,0.994056196
Minnesota Vikings-Atlanta Falcons,9.761904762,-10.18352988,29.7073394,0.994490057
Indianapolis Colts-Green Bay Packers,-9.666666667,-29.61210131,10.27876797,0.995278158
Philadelphia Eagles-Cincinnati Bengals,9.619047619,-10.32638702,29.56448226,0.995634993
Dallas Cowboys-Carolina Panthers,9.619047619,-10.32638702,29.56448226,0.995634993
Detroit Lions-Carolina Panthers,9.571428571,-10.37400607,29.51686321,0.995968682
Baltimore Ravens-Arizona Cardinals,9.428571429,-10.51686321,29.37400607,0.996842651
New York Jets-Miami Dolphins,-9.380952381,-29.32638702,10.56448226,0.997095333
Pittsburgh Steelers-New York Jets,9.380952381,-10.56448226,29.32638702,0.997095333
Jacksonville Jaguars-Dallas Cowboys,-9.142857143,-29.08829178,10.8025775,0.998114707
Jacksonville Jaguars-Detroit Lions,-9.095238095,-29.04067273,10.85019654,0.998276204
Philadelphia Eagles-New York Giants,9.047619048,-10.89781559,28.99305369,0.998425539
New York Jets-Cleveland Browns,-9,-28.94543464,10.94543464,0.998563478
Minnesota Vikings-Los Angeles Rams,-9,-28.94543464,10.94543464,0.998563478
Atlanta Falcons-Arizona Cardinals,-8.952380952,-28.89781559,10.99305369,0.998690751
Tennessee Titans-Carolina Panthers,8.952380952,-10.99305369,28.89781559,0.998690751
New York Giants-Indianapolis Colts,8.904761905,-11.04067273,28.85019654,0.998808054
New York Jets-New England Patriots,-8.904761905,-28.85019654,11.04067273,0.998808054
Kansas City Chiefs-Dallas Cowboys,-8.857142857,-28.8025775,11.08829178,0.998916048
Dallas Cowboys-Chicago Bears,8.80952381,-11.13591083,28.75495845,0.999015358
Kansas City Chiefs-Detroit Lions,-8.80952381,-28.75495845,11.13591083,0.999015358
Detroit Lions-Chicago Bears,8.761904762,-11.18352988,28.7073394,0.99910658
New York Jets-Chicago Bears,-8.714285714,-28.65972035,11.23114892,0.999190277
New York Jets-Kansas City Chiefs,-8.666666667,-28.61210131,11.27876797,0.999266979
Minnesota Vikings-Baltimore Ravens,-8.619047619,-28.56448226,11.32638702,0.999337189
New England Patriots-Dallas Cowboys,-8.619047619,-28.56448226,11.32638702,0.999337189
Buffalo Bills-Atlanta Falcons,8.571428571,-11.37400607,28.51686321,0.999401381
Washington Football Team-Atlanta Falcons,8.571428571,-11.37400607,28.51686321,0.999401381
New England Patriots-Detroit Lions,-8.571428571,-28.51686321,11.37400607,0.999401381
Dallas Cowboys-Cleveland Browns,8.523809524,-11.42162512,28.46924416,0.99946
Detroit Lions-Cleveland Browns,8.476190476,-11.46924416,28.42162512,0.999513465
Tennessee Titans-Jacksonville Jaguars,8.476190476,-11.46924416,28.42162512,0.999513465
New York Jets-Jacksonville Jaguars,-8.380952381,-28.32638702,11.56448226,0.999606485
Tampa Bay Buccaneers-Los Angeles Rams,-8.380952381,-28.32638702,11.56448226,0.999606485
Indianapolis Colts-Cincinnati Bengals,-8.333333333,-28.27876797,11.61210131,0.999646754
Philadelphia Eagles-Green Bay Packers,8.285714286,-11.65972035,28.23114892,0.999683301
Denver Broncos-Atlanta Falcons,8.238095238,-11.7073394,28.18352988,0.999716428
Tennessee Titans-Kansas City Chiefs,8.19047619,-11.75495845,28.13591083,0.999746416
Tennessee Titans-Chicago Bears,8.142857143,-11.8025775,28.08829178,0.999773527
Miami Dolphins-Dallas Cowboys,-8.142857143,-28.08829178,11.8025775,0.999773527
Pittsburgh Steelers-Dallas Cowboys,-8.142857143,-28.08829178,11.8025775,0.999773527
Los Angeles Chargers-Atlanta Falcons,8.095238095,-11.85019654,28.04067273,0.999798005
Miami Dolphins-Detroit Lions,-8.095238095,-28.04067273,11.85019654,0.999798005
Pittsburgh Steelers-Detroit Lions,-8.095238095,-28.04067273,11.85019654,0.999798005
Tampa Bay Buccaneers-Baltimore Ravens,-8,-27.94543464,11.94543464,0.999839953
Tennessee Titans-New England Patriots,7.952380952,-11.99305369,27.89781559,0.999857826
New York Jets-Carolina Panthers,-7.904761905,-27.85019654,12.04067273,0.999873877
San Francisco 49ers-Los Angeles Rams,-7.904761905,-27.85019654,12.04067273,0.999873877
Tennessee Titans-Cleveland Browns,7.857142857,-12.08829178,27.8025775,0.999888271
