"","diff","lwr","upr","p adj"
"2000-1999",-5.09364868620446,-17.823260454712,7.6359630823031,0.998111951436762
"2001-1999",-10.4743741058666,-23.6554862809317,2.70673806919848,0.350253188703455
"2002-1999",-5.11683864487506,-17.8052183573571,7.57154106760702,0.997904000687844
"2003-1999",-0.80251080998778,-13.6511306032894,12.0461089833138,1
"2004-1999",3.04934767368123,-9.98871086407114,16.0874062114336,0.999999611535922
"2005-1999",4.14785327951192,-8.6784889971024,16.9741955561262,0.999914814042198
"2006-1999",-11.2312098116837,-23.9297999496118,1.46738032624448,0.168166642975745
"2007-1999",-20.3156194242259,-33.1642392175275,-7.46699963092434,3.56598216810777e-06
"2008-1999",-21.042211184521,-33.8908309778226,-8.19359139121944,1.09380214430299e-06
"2009-1999",-11.0462698561999,-24.0843283939522,1.99178868155249,0.233366139269544
"2010-1999",-8.10213627815388,-20.9507560714555,4.7464835151477,0.789315153320522
"2011-1999",-3.20700519201014,-16.0556249853117,9.64161460129143,0.999998795244107
"2012-1999",-5.63578458878816,-18.3140178983001,7.04244872072378,0.992712726487516
"2013-1999",-5.40925238302268,-18.2578721763243,7.4393674102789,0.996313474457366
"2014-1999",0.257414283645488,-12.5912055096561,13.1060340769471,1
"2015-1999",8.55133970555326,-4.4867188321991,21.5893982433056,0.728249689317761
"2016-1999",5.76677757952537,-7.08184221377621,18.6153973728269,0.991810432383155
"2017-1999",3.11333201898479,-9.56490129052715,15.7915653284967,0.999999090869915
"2018-1999",4.05516709263395,-8.79345270066763,16.9037868859355,0.999941752644162
"2019-1999",3.42595360948779,-9.42266618381379,16.2745734027894,0.999996283685134
"2001-2000",-5.38072541966217,-18.0089392789315,7.2474884396072,0.995700798253217
"2002-2000",-0.0231899586705993,-12.1362014270017,12.0898215096605,1
"2003-2000",4.29113787621668,-7.98962340705132,16.5718991594847,0.999723757674577
"2004-2000",8.14299635988569,-4.33582720396241,20.6218199237338,0.736665358790498
"2005-2000",9.24150196571638,-3.01594978008531,21.4989537115181,0.457195798379742
"2006-2000",-6.13756112547921,-18.2612675964756,5.98614534551716,0.968329671730012
"2007-2000",-15.2219707380215,-27.5027320212895,-2.94120945475345,0.00181686859098529
"2008-2000",-15.9485624983166,-28.2293237815846,-3.66780121504856,0.000694199240137472
"2009-2000",-5.95262116999541,-18.4314447338435,6.52620239385269,0.983344017096779
"2010-2000",-3.00848759194942,-15.2892488752174,9.27227369131858,0.999999127950752
"2011-2000",1.88664349419432,-10.3941177890737,14.1674047774623,0.999999999824659
"2012-2000",-0.542135902583695,-12.6445185999789,11.5602467948115,1
"2013-2000",-0.315603696818215,-12.5963649800862,11.9651575864498,1
"2014-2000",5.35106296984995,-6.92969831341805,17.6318242531179,0.994302955983258
"2015-2000",13.6449883917577,1.16616482790963,26.1238119556058,0.0154357766953528
"2016-2000",10.8604262657298,-1.42033501753817,23.1411875489978,0.168323141208339
"2017-2000",8.20698070518925,-3.89540199220597,20.3093634025845,0.66964686286863
"2018-2000",9.14881577883841,-3.13194550442959,21.4295770621064,0.482087960414486
"2019-2000",8.51960229569225,-3.76115898757575,20.8003635789603,0.626661337864326
"2002-2001",5.35753546099157,-7.22911418165137,17.9441851036345,0.99575638110458
"2003-2001",9.67186329587885,-3.07630520360914,22.4200317953668,0.444209936866807
"2004-2001",13.5237217795479,0.584643762456604,26.4627997966391,0.0289045352635332
"2005-2001",14.6222273853786,1.89651225044878,27.3479425203083,0.00712587787249652
"2006-2001",-0.756835705817039,-13.3537782312715,11.8401068196374,1
"2007-2001",-9.84124531835928,-22.5894138178473,2.90692318112871,0.408450758511825
"2008-2001",-10.5678370786544,-23.3160055781424,2.1803314208336,0.27079414302238
"2009-2001",-0.57189575033324,-13.5109737674245,12.367182266758,1
"2010-2001",2.37223782771275,-10.3759306717752,15.1204063272007,0.999999993691928
"2011-2001",7.26736891385649,-5.4807995856315,20.0155374133445,0.902724029206417
"2012-2001",4.83858951707847,-7.73783164909335,17.4150106832503,0.998896587831114
"2013-2001",5.06512172284395,-7.68304677664404,17.8132902223319,0.99828392130442
"2014-2001",10.7317883895121,-2.01638010997587,23.4799568890001,0.244069762544796
"2015-2001",19.0257138114199,6.08663579432864,31.9647918285111,3.20132563509379e-05
"2016-2001",16.241151685392,3.49298318590401,28.98932018488,0.00104333415759517
"2017-2001",13.5877061248514,1.01128495867959,26.1641272910233,0.0183623118282695
"2018-2001",14.5295411985006,1.78137269901259,27.2777096979886,0.00813877568611887
"2019-2001",13.9003277153544,1.15215921586643,26.6484962148424,0.0160847627698897
"2003-2002",4.31432783488728,-7.92368922866574,16.5523448984403,0.999684949830824
"2004-2002",8.16618631855629,-4.27057376953945,20.602946406652,0.726361513945563
"2005-2002",9.26469192438698,-2.94993403189419,21.4793178806681,0.4447418375629
"2006-2002",-6.11437116680861,-18.194777722305,5.96603538868776,0.968397796863371
"2007-2002",-15.1987807793509,-27.4367978429039,-2.96076371579784,0.00174816727896709
"2008-2002",-15.925372539646,-28.163389603199,-3.68735547609294,0.00066421261715488
"2009-2002",-5.92943121132481,-18.3661912994205,6.50732887677093,0.983442342638416
"2010-2002",-2.98529763327882,-15.2233146968318,9.2527194302742,0.999999189937277
"2011-2002",1.90983345286492,-10.3281836106881,14.1478505164179,0.999999999763919
"2012-2002",-0.518945943913096,-12.5779521594108,11.5400602715846,1
"2013-2002",-0.292413738147616,-12.5304308017006,11.9456033254054,1
"2014-2002",5.37425292852055,-6.86376413503247,17.6122699920736,0.993723843549456
"2015-2002",13.6681783504283,1.23141826233258,26.1049384385241,0.0143208197195517
"2016-2002",10.8836162244004,-1.35440083915259,23.1216332879534,0.160705653577406
"2017-2002",8.23017066385985,-3.82883555163783,20.2891768793575,0.657757011062191
"2018-2002",9.17200573750901,-3.06601132604401,21.410022801062,0.469578613513536
"2019-2002",8.54279225436285,-3.69522480919017,20.7808093179159,0.614581274460222
"2004-2003",3.85185848366901,-8.74834200495599,16.452058972294,0.999964865983311
"2005-2003",4.9503640894997,-7.43063498636457,17.331363165364,0.99813131104814
"2006-2003",-10.4286990016959,-22.677301918387,1.81990391499523,0.225287156845434
"2007-2003",-19.5131086142381,-31.9171850616206,-7.10903216685563,4.203677953174e-06
"2008-2003",-20.2397003745332,-32.6437768219157,-7.83562392715074,1.24243622223741e-06
"2009-2003",-10.2437590462121,-22.8439595348371,2.3564414424129,0.306388880765235
"2010-2003",-7.2996254681661,-19.7037019155486,5.1044509792164,0.873594347328368
"2011-2003",-2.40449438202236,-14.8085708294049,9.99958206536014,0.999999986639034
"2012-2003",-4.83327377880038,-17.0607707332104,7.39422317560964,0.998399844284026
"2013-2003",-4.6067415730349,-17.0108180204174,7.79733487434761,0.999328758732043
"2014-2003",1.05992509363327,-11.3441513537492,13.4640015410158,1
"2015-2003",9.35385051554104,-3.24634997308395,21.954051004166,0.489393832546892
"2016-2003",6.56928838951315,-5.83478805786935,18.9733648368956,0.950210892481082
"2017-2003",3.91584282897257,-8.31165412543744,16.1433397833826,0.999926803248352
"2018-2003",4.85767790262173,-7.54639854476077,17.2617543500042,0.998590649103636
"2019-2003",4.22846441947557,-8.17561202790693,16.6325408668581,0.99980912447659
"2005-2004",1.0985056058307,-11.4789773680233,13.6759885796847,1
"2006-2004",-14.2805574853649,-26.7277344043217,-1.83338056640812,0.00730589326788178
"2007-2004",-23.3649670979071,-35.9651675865321,-10.7647666092821,8.15057610292769e-09
"2008-2004",-24.0915588582022,-36.6917593468272,-11.4913583695773,2.00215499734924e-09
"2009-2004",-14.0956175298811,-26.8889357935132,-1.30229926624904,0.0137912238240657
"2010-2004",-11.1514839518351,-23.7516844404601,1.44871653678989,0.167269060443889
"2011-2004",-6.25635286569137,-18.8565533543164,6.34384762293362,0.974167974919827
"2012-2004",-8.68513226246938,-21.1115404969973,3.7412759720585,0.612134920563948
"2013-2004",-8.4586000567039,-21.0588005453289,4.14160043192109,0.688005528737007
"2014-2004",-2.79193339003574,-15.3921338786607,9.80826709858925,0.999999850560804
"2015-2004",5.50199203187204,-7.29132623176002,18.2953102955041,0.995163538862187
"2016-2004",2.71742990584414,-9.88277058278085,15.3176303944691,0.999999907798639
"2017-2004",0.0639843453035667,-12.3624238892243,12.4903925798314,1
"2018-2004",1.00581941895273,-11.5943810696723,13.6060199075777,1
"2019-2004",0.376605935806566,-12.2235945528184,12.9768064244316,1
"2006-2005",-15.3790630911956,-27.6042951550387,-3.15383102735251,0.00135288556221191
"2007-2005",-24.4634727037378,-36.8444717796021,-12.0824736278736,3.99668187434088e-10
"2008-2005",-25.1900644640329,-37.5710635398972,-12.8090653881687,8.37825364641276e-11
"2009-2005",-15.1941231357118,-27.7716061095658,-2.61664016185776,0.00296531973419711
"2010-2005",-12.2499895576658,-24.6309886335301,0.131009518198475,0.0565227415805595
"2011-2005",-7.35485847152206,-19.7358575473863,5.02614060434221,0.863853588521845
"2012-2005",-9.78363786830008,-21.9877235519615,2.42044781536132,0.33309571864565
"2013-2005",-9.5571056625346,-21.9381047383989,2.82389341332968,0.408599457520416
"2014-2005",-3.89043899586643,-16.2714380717307,8.49056007999784,0.999945645959873
"2015-2005",4.40348642604134,-8.17399654781269,16.9809693998954,0.999715559884559
"2016-2005",1.61892430001345,-10.7620747758508,13.9999233758777,0.999999999991912
"2017-2005",-1.03452126052713,-13.2386069441885,11.1695644231343,1
"2018-2005",-0.0926861868779696,-12.4736852627422,12.2883128889863,1
"2019-2005",-0.721899670024129,-13.1028987458884,11.6590994058401,1
